basin_id,Area_sqkm,Perimeter_km,Stream_Freq,Drain_Density,Relief_m,Mean_Slope,Rank_Dd,Rank_Fs,Rank_Relief,Rank_Slope,Compound_Value,Final_Rank,Priority_Class
4,2411.044106042713,386.2536295046629,0.0522595168144003,0.2381486040791644,306.0,3.9757856756576455,10.0,14.0,4.0,16.0,11.0,12.0,Moderate Priority
16,5008.908730577109,622.0266767021914,0.4000871462812831,0.1920464251159337,102.0,11.571773173201697,12.0,6.0,19.0,8.0,11.25,13.0,Low Priority (Safe Zone)
11,9506.09530954911,466.2373704698783,0.0117819142721505,0.0359115929128595,225.0,1.2517567229415776,19.0,17.0,11.5,19.0,16.625,19.0,Low Priority (Safe Zone)
8,3919.431783261817,550.6644098422813,0.0915949096328535,0.2784339111268377,269.0,9.5288537192648,8.0,11.0,5.0,12.0,9.0,7.5,Moderate Priority
20,2684.1427949679737,468.85584131568703,0.8002554871621982,0.6605617162247652,249.0,46.77650758975183,1.0,2.0,7.0,3.0,3.25,2.5,High Priority (Severe Risk)
5,661.971118528017,176.68632383530735,0.2432130277194048,0.4301464597714805,185.0,10.354791694987922,4.0,8.0,14.0,9.0,8.75,6.0,High Priority (Severe Risk)
7,1676.896676630516,303.0382758143805,0.0089450949536976,0.1374375652363354,136.0,10.302202140839716,15.0,19.0,16.0,10.0,15.0,16.0,Low Priority (Safe Zone)
6,3401.8418295665056,424.85407721607805,0.1046491923598237,0.2466238918790172,248.0,5.411611443486055,9.0,10.0,8.0,15.0,10.5,10.5,Moderate Priority
2,2233.2080777531214,299.85832850584734,0.0098512987746912,0.1165339780284851,106.0,14.616497634535202,16.0,18.0,18.0,7.0,14.75,15.0,Low Priority (Safe Zone)
15,41082.93337142489,1669.2431553603478,0.7106844035705562,0.3191172221007782,475.0,41.677714662332015,6.0,5.0,1.0,5.0,4.25,4.0,High Priority (Severe Risk)
22,1776.5857631120334,407.08719059404774,1.7702494668711768,0.6546747847709926,263.0,52.408366593423395,2.0,1.0,6.0,1.0,2.5,1.0,High Priority (Severe Risk)
14,40865.89006599016,1967.4734723373952,0.7132109432324879,0.5318150242035115,450.0,44.486063334248385,3.0,4.0,2.0,4.0,3.25,2.5,High Priority (Severe Risk)
13,3753.355098870913,399.78540404231177,0.0761984924064431,0.0945068207342854,225.0,6.95934062350914,18.0,13.0,11.5,14.0,14.125,14.0,Low Priority (Safe Zone)
1,6623.470421317541,541.3156572362058,0.1961207520183358,0.1701741980302984,379.0,9.713921833102772,13.0,9.0,3.0,11.0,9.0,7.5,Moderate Priority
9,3851.884113503336,369.7805907581987,0.0246632549683838,0.1064708326819433,161.0,2.0651431141673653,17.0,15.0,15.0,17.0,16.0,17.0,Low Priority (Safe Zone)
10,1422.2561630880955,322.3103792435944,0.2481972018553558,0.300342280132035,228.0,8.703531897556864,7.0,7.0,10.0,13.0,9.25,9.0,Moderate Priority
3,1977.84787277144,288.4919071178242,0.01516800175231,0.1462859091912605,119.0,1.823208118174985,14.0,16.0,17.0,18.0,16.25,18.0,Low Priority (Safe Zone)
18,3174.33228911129,605.8220251746934,0.7233017185616714,0.3779237284349385,243.0,50.085845353968395,5.0,3.0,9.0,2.0,4.75,5.0,High Priority (Severe Risk)
12,1545.154501366247,268.1837525779293,0.0841339813494716,0.1939718804759801,208.0,15.672795716045744,11.0,12.0,13.0,6.0,10.5,10.5,Moderate Priority
